OBJECTID,BPID,Miles,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type
380,2032,0.5,Backbone,Lane,Sherman Wy,Topanga Canyon Bl,Canoga Av,2505.9748965,2013-01-18T00:00:00.000Z,,Bike Lane
381,2033,0.08,Backbone,Route,Sherman Wy,Topanga Canyon Bl,250 ft E/O Glade Av,435.43864036,2005-01-01T00:00:00.000Z,,Bike Route
382,2034,0.8,Backbone,Lane,Burton Way,Doheny Dr (Robertson EB),La Cienega Bl,6497.2597809,2013-01-27T00:00:00.000Z,,Bike Lane
383,2035,0.4,Backbone,Lane,Woodman Av,Ventura Bl,Valleyheart Dr,2454.07716835,2013-01-18T00:00:00.000Z,,Bike Lane
384,2036,1.4,Backbone,Lane,Mission Rd,Cesar E Chavez Av,N Main St,7384.94075182,2013-01-30T00:00:00.000Z,,Bike Lane
385,2037,0.7, ,Lane,Fries Av,A St,Anaheim St,3701.34588634,2013-02-03T00:00:00.000Z,,Bike Lane
386,2038,0.5, ,Lane,28th St,Griffith Av,Hooper Av,2415.2400672,2013-02-03T00:00:00.000Z,,Bike Lane
387,2039,0.9, ,Lane,Burbank Bl,Radford Av,Elmer Av,4792.29229399,2013-02-03T00:00:00.000Z,,Bike Lane
388,2040,0.4,Neighborhood,Lane,Loyola Bl,80th St,Manchester Av,2236.2113074,2013-02-03T00:00:00.000Z,,Bike Lane
389,2041,0.5,Neighborhood,Lane,Gateway Bl,Pico Bl,Granville Av,7032.66957086,2013-02-03T00:00:00.000Z,,Bike Lane
390,2042,0.8, ,Lane,4th Av,23rd St,Pico Bl,3887.9755473,2013-02-10T00:00:00.000Z,,Bike Lane
391,2043,0.5, ,Lane,111th St,Aviation Bl,La Cienega Bl,2554.14586886,2013-02-10T00:00:00.000Z,,Bike Lane
392,2045,1.1, ,Lane,Glenoaks Bl,Paxton St,Terra Bella St,6711.55196365,2013-02-13T00:00:00.000Z,,Bike Lane
393,2046,0.6, ,Lane,Darwin Av,Daly St,Thomas St,3151.1057948,2013-02-13T00:00:00.000Z,,Bike Lane
394,2047,0.6, ,Lane,Via Marisol,Lomitas Dr,Ave 57,3390.87414229,2013-02-13T00:00:00.000Z,,Bike Lane
395,2048,0.6, ,Lane,108th St,Avalon Bl,Central Av,3337.80737557,2013-02-23T00:00:00.000Z,,Bike Lane
396,2049,0.6, ,Lane,Figueroa St,Gardena Bl,Walnut St,3030.51878193,2013-02-23T00:00:00.000Z,,Bike Lane
397,2050,0.6, ,Lane,Alla Rd,Maxella Av,Marina Expwy,3074.28123606,2013-02-23T00:00:00.000Z,,Bike Lane
398,2051,0.5, ,Lane,Jefferson Bl,Main St,San Pedro St,2540.691585,2013-03-03T00:00:00.000Z,,Bike Lane
399,2052,0.5, ,Lane,Moorpark St,Coldwater Canyon Ave,Whitsett Ave,2593.34622057,2013-03-03T00:00:00.000Z,,Bike Lane
400,2053,0.9, ,Lane,Vermont Av,79th St,Gage Ave,10156.8093689,2013-03-05T00:00:00.000Z,,Bike Lane
401,2054,0.5, ,Lane,Rowena Av,Hyperion Av,Glendale Bl,2566.51018185,2013-03-11T00:00:00.000Z,,Bike Lane
402,2055,0.5, ,Lane,Hayvenhurst Av,300' N/O Sherman Wy,Saticoy St,2451.4917745,2013-03-12T00:00:00.000Z,,Bike Lane
403,2056,0.5, ,Lane,Gaffey St,Channel St,Summerland Av,2411.68106164,2013-03-13T00:00:00.000Z,,Bike Lane
404,2057,0.6, ,Lane,Parthenia St,Pacoima Wash (JWO Kester Av),Van Nuys Bl,6010.95815041,2013-03-19T00:00:00.000Z,,Bike Lane
405,2058,0.4, ,Lane,Braddock St,Culver Bl,Centinela Av,2324.45587156,2013-03-18T00:00:00.000Z,,Bike Lane
406,2059,0.2, ,Sharrowed Route,Sepulveda Bl,225' N/O Greenlawn Av,Ballona Creek Bike Path,935.23631774,2013-02-27T00:00:00.000Z,,Sharrowed Bike Route
407,2062,0.3, ,Sharrowed Route,Jefferson Bl,La Cienega Bl,National Bl,1522.94165942,2013-02-27T00:00:00.000Z,,Sharrowed Bike Route
408,2063,0.6, ,Sharrowed Route,Abbot Kinney Bl,Venice Bl,Washington Bl,3452.6968962,2013-03-05T00:00:00.000Z,,Sharrowed Bike Route
409,2064,0.4, ,Sharrowed Route,Ocean Av,Washington Bl,S Venice Bl,2094.29215268,2013-03-07T00:00:00.000Z,,Sharrowed Bike Route
410,2065,0.6, ,Sharrowed Route,Mildred Av,Ocean Av,Washington Bl,3050.17174756,2013-03-11T00:00:00.000Z,,Sharrowed Bike Route
411,2066,0.2, ,Sharrowed Route,Pacific Ave,Windward Av,N Venice Bl,1165.72307444,2013-03-15T00:00:00.000Z,,Sharrowed Bike Route
412,2067,0.1, ,Sharrowed Route,Windward Av,Pacific Av,Speedway,364.81856508,2013-02-24T00:00:00.000Z,,Sharrowed Bike Route
413,2068,0.1, ,Sharrowed Route,S Venice Bl,Ocean Front Walk,Pacific Av,470.79886764,2013-02-28T00:00:00.000Z,,Sharrowed Bike Route
414,2069,0.1, ,Sharrowed Route,Washington Bl,Ocean Front Walk,Pacific Av,440.29539483,2013-02-28T00:00:00.000Z,,Sharrowed Bike Route
415,2070,0.1, ,Sharrowed Route,Wellworth Av,Midvale Av,Westwood Bl,556.01118983,2013-03-01T00:00:00.000Z,,Sharrowed Bike Route
416,2071,0.2, ,Sharrowed Route,Broxton Ave,Le Conte Av,Weyburn Av,410.49274348,2013-03-01T00:00:00.000Z,,Sharrowed Bike Route
417,2072,0.4, ,Sharrowed Route,Rose Av,Ocean Front Walk,4th Av,2005.58981365,2013-03-31T00:00:00.000Z,,Sharrowed Bike Route
418,2073,0.6, ,Sharrowed Route,7th Av,Rose Av,California Av,2743.43765844,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
419,2074,0.3, ,Sharrowed Route,California Av,Oakwood Av,Abbot Kinney Bl,1481.05718348,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
420,2075,0.4, ,Sharrowed Route,Oakwood Av,California Av,Venice Bl,2067.3005922,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
421,2078,0.3, ,Sharrowed Route,Gayley Av,Weyburn Av,Wilshire Bl,1548.09605818,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
422,2079,0.3, ,Sharrowed Route,Midvale Av,Wilshire Bl,Wellworth Av,729.81246233,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
423,2080,0.1, ,Sharrowed Route,Kinross Av,Gayley Av,Glendon Av,679.76807554,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
424,2081,0.22, ,Sharrowed Route,Weyburn Av,Gayley Av,Glendon Av,1272.33151313,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
425,2082,1, ,Sharrowed Route,Ohio Av,S Sepulveda Bl,Westholme Av,5259.04105424,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
426,2083,0.5, ,Sharrowed Route,Hoover St,El Segundo Bl,120th St,2553.48118878,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
427,2084,0.3, ,Sharrowed Route,Ocean Av,Adelaide Dr,Entrada Dr,1414.86254697,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
428,2085,0.5, ,Sharrowed Route,Lucerne Bl,4th St,8th St,2522.98396466,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
429,2087,2.7, ,Sharrowed Route,Franklin Av,St George St,Argyle Av,14684.3488617,2013-03-29T00:00:00.000Z,,Sharrowed Bike Route
430,2088,0.5, ,Sharrowed Route,St George St,Rowena Av,Franklin Av,2550.75375766,2013-03-27T00:00:00.000Z,,Sharrowed Bike Route
431,2089,0.1, ,Sharrowed Route,Rowena Av,Hyperion Av,St George St,664.62477246,2013-03-27T00:00:00.000Z,,Sharrowed Bike Route
432,2092,0.1, ,Sharrowed Route,Yucca St,Argyle Av,Vine St,227.01048809,2013-03-21T00:00:00.000Z,,Sharrowed Bike Route
433,2093,0.9, ,Sharrowed Route,Selma Av,Gower St,Highland Av,4957.89844088,2013-03-21T00:00:00.000Z,,Sharrowed Bike Route
434,2094,1.3, ,Sharrowed Route,Wilcox Av,Cahuenga Bl,Willoughby Av,6960.43797832,2013-03-21T00:00:00.000Z,,Sharrowed Bike Route
435,2095,1.7, ,Sharrowed Route,Willoughby Av,Gower St,Vista St,9076.42529742,2013-04-21T00:00:00.000Z,,Sharrowed Bike Route
436,2096,1, ,Sharrowed Route,Orange Dr,Willoughby Av,Hollywood Bl,5261.58606276,2013-03-21T00:00:00.000Z,,Sharrowed Bike Route
437,2098,0.1, ,Sharrowed Route,Willow Brook Av,Edgemont,N Heliotrope Dr,330.01153054,2013-04-21T00:00:00.000Z,,Sharrowed Bike Route
438,2099,0.4, ,Sharrowed Route,Argyle Ave,Franklin Av,Selma Av,1964.39504049,2013-03-21T00:00:00.000Z,,Sharrowed Bike Route
439,3000,0.3, ,Sharrowed Route,Hyperion Av,Fountain Av,Sunset Bl,1670.53741577,2013-04-21T00:00:00.000Z,,Sharrowed Bike Route
440,3002,1.2, ,Sharrowed Route,1st St,San Pedro St,Boyle Av,6578.41705011,2013-04-01T00:00:00.000Z,,Sharrowed Bike Route
441,3003,0.9, ,Sharrowed Route,2nd St,Spring St,Santa Fe Av,4494.72004907,2013-03-29T00:00:00.000Z,,Sharrowed Bike Route
442,3004,1.8, ,Lane,Broadway,92nd St,117th St,16567.4235905,2013-03-24T00:00:00.000Z,,Bike Lane
443,3005,0.4, ,Lane,Winnetka Av,Vanowen St,Gault St,1980.31217421,2013-03-24T00:00:00.000Z,,Bike Lane
444,3006,0.5, ,Lane,Cypress Av,Arroyo Seco Av,Pepper Av,2505.35121591,2013-03-24T00:00:00.000Z,,Bike Lane
445,3007,0.5, ,Lane,Crescent Heights Bl,Guthrie Av,Airdrome St,2461.36408421,2013-03-24T00:00:00.000Z,,Bike Lane
446,3008,2.3, ,Lane,Woodman Av,Roscoe Bl,Lassen St,12075.31788,2013-04-01T00:00:00.000Z,,Bike Lane
447,3009,0.8, ,Lane,San Pedro St,Vernon Av,Jefferson Bl,4521.76412735,2013-04-04T00:00:00.000Z,,Bike Lane
448,3010,0.9, ,Lane,Griffin Av,Altura St,N Mission Rd,4642.36701166,2013-04-04T00:00:00.000Z,,Bike Lane
449,3011,3.9, ,Route,Broadway,Broadway Pl,92nd St,20678.8998964,2005-01-01T00:00:00.000Z,,Bike Route
450,3012,1.4, ,Route,Woodman Av,Roscoe Bl,Sherman Way,12181.46527,2005-01-01T00:00:00.000Z,,Bike Route
451,3013,0.2, ,Lane,Zonal Av,N Mission Rd,State St,1060.36286586,2013-04-04T00:00:00.000Z,,Bike Lane
452,3015,1.7, ,Lane,Lankershim Bl,Saticoy St,San Fernando Rd,9167.22139299,2013-04-07T00:00:00.000Z,,Bike Lane
453,3016,0.5, ,Lane,Colfax Av,Chandler Bl,Hatteras Av,2586.68737409,2013-04-07T00:00:00.000Z,,Bike Lane
454,3017,1.5, ,Lane,Nordoff St,Orion Av,Slymar Av,7881.86061342,2013-04-07T00:00:00.000Z,,Bike Lane
455,3018,0.2, ,Sharrowed Route,Nordoff St,Slymar Av,Costello Av,1198.47841265,2013-04-07T00:00:00.000Z,,Sharrowed Bike Route
456,3019,0.1, ,Lane,Nordoff St,Costello Av,Woodman Av,452.25731355,2013-04-07T00:00:00.000Z,,Bike Lane
457,3020,0.1, ,Sharrowed Route,Lankershim Bl,Victory Bl,Hamlin St,753.98969194,2013-03-13T00:00:00.000Z,,Sharrowed Bike Route
458,3021,0.8, ,Lane,Lankershim Bl,Hatteras St,Victory Bl,4433.08503545,2013-03-13T00:00:00.000Z,,Bike Lane
459,3022,1.4, ,Lane,Lankershim Bl,Hamlin St,Saticoy St,7174.60957133,2013-03-13T00:00:00.000Z,,Bike Lane
460,3023,1.8, ,Lane,Van Nuys Bl,Parthenia St,Beachy Av,9381.45689426,2013-04-07T00:00:00.000Z,,Bike Lane
461,3024,0.4, ,Sharrowed Route,Pacific Ave,S Venice Bl,Washington Bl,2112.21759696,2013-03-15T00:00:00.000Z,,Sharrowed Bike Route
462,3025,0.2, ,Lane,Denver Av,Laconia Bl,Athens Bl,1004.6411958,2012-12-05T00:00:00.000Z,,Bike Lane
463,3026,0.6, ,Lane,103rd St,Avalon Bl,Central Av,3348.08225664,2013-04-18T00:00:00.000Z,,Bike Lane
464,3027,1, ,Lane,54th St,8th Av,Western Av,5111.1645918,2013-04-18T00:00:00.000Z,,Bike Lane
465,3028,0.4, ,Lane,1st St,Grand Av,Beaudry Av,2076.09794562,2013-04-18T00:00:00.000Z,,Bike Lane
466,3029,0.5, ,Lane,Colden Av,Avalon Bl,Clovis Av,2642.41041336,2013-04-18T00:00:00.000Z,,Bike Lane
467,3030,1.5,Neighborhood,Sharrowed Route,Colden Av,Vermont Av,Avalon Bl,8027.22876728,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
468,3031,0.4, ,Lane,22nd St,Via Cabrillo Marina,Miner St,2156.57050283,2013-02-16T00:00:00.000Z,,Bike Lane
469,3032,0.6, ,Sharrowed Route,Fountain Av,La Brea Av,Seward Av,3275.8488808,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
470,3033,0.7, ,Sharrowed Route,Fountain Av,Wilcox Av,Bronson Av,3948.91059718,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
471,3034,0.3, ,Sharrowed Route,Fountain Av,Van Ness Av,St Andrews Pl,1272.05214464,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
472,3035,1.4, ,Lane,Adams Bl,Main St,Compton Av,7441.10155059,2013-04-21T00:00:00.000Z,,Bike Lane
473,3036,0.5, ,Lane,92nd St,Main St,Towne Av/Avalon Bl,2649.89230095,2013-04-21T00:00:00.000Z,,Bike Lane
474,3037,0.08,Neighborhood,Route,4th St,Hoover St,Commonwealth Av,409.61294174,2005-01-01T00:00:00.000Z,,Bike Route
475,3038,0.2, ,Lane,Wilshire Bl,Beverly Glen Bl,Comstock Av,1134.61020314,2013-04-28T00:00:00.000Z,,Bike Lane
476,3039,0.5, ,Lane,108th St,Vermont Av,Figueroa St,2745.28728121,2013-04-28T00:00:00.000Z,,Bike Lane
477,3040,1.2, ,Lane,Figueroa St,Wilshire Bl,Cesar E Chavez/Sunset Bl,4878.4423651,2013-05-01T00:00:00.000Z,,Bike Lane
478,3041,1, ,Lane,Capitol Dr,Western Av,Gaffey St,5550.81540911,2013-05-05T00:00:00.000Z,,Bike Lane
479,3042,1.1, ,Lane,Westmont Dr,Western Av,Gaffey St,5889.74292347,2013-05-05T00:00:00.000Z,,Bike Lane
480,3043,1.7, ,Lane,Grand Ave,Oliver St,24th St,8911.87215336,2013-05-05T00:00:00.000Z,,Bike Lane
481,3044,0.1, ,Lane,Bella Porte Av,Lomita Bl,252nd St,745.27213931,2013-05-07T00:00:00.000Z,,Bike Lane
482,3045,0.1, ,Sharrowed Route,Bella Porte Av,252nd St,254th St,720.2563181,2013-05-07T00:00:00.000Z,,Sharrowed Bike Route
483,3046,0.6, ,Lane,Bella Porte Av,254th St,260th St,2523.68540131,2013-05-07T00:00:00.000Z,,Bike Lane
484,3047,0.3, ,Lane,Echandia St,Pleasant Av,Bridge St,1698.14802566,2013-05-07T00:00:00.000Z,,Bike Lane
485,3048,0.5, ,Lane,Century Bl,Broadway,San Pedro St,2679.23267305,2013-05-07T00:00:00.000Z,,Bike Lane
486,3049,1.8, ,Lane,Corbin Av,Rinaldi St,Lassen St,9439.27222605,2013-05-07T00:00:00.000Z,,Bike Lane
487,3050,0.8, ,Lane,Wilbur Av,Chatsworth St,Rinaldi St,4188.46071578,2013-05-07T00:00:00.000Z,,Bike Lane
488,3051,2, ,Lane,Monterey Rd,Lomitas Dr,City Limits (South Pasadena),10229.9664333,2013-05-07T00:00:00.000Z,,Bike Lane
489,3052,1, ,Lane,83rd St,Western Av,Vermont Av,5324.06720225,2013-05-03T00:00:00.000Z,,Bike Lane
490,3053,0.5, ,Lane,Scott Av,Garibaldi Dr,Portia St,5192.51767909,2013-05-12T00:00:00.000Z,,Bike Lane
491,3054,0.6, ,Lane,19th St,Walker Av,Gaffey St,3352.1534446,2013-05-12T00:00:00.000Z,,Bike Lane
492,3055,0.5, ,Lane,Lomita Bl,Western Av,Frampton Av,2539.03677748,2013-05-12T00:00:00.000Z,,Bike Lane
493,3056,0.3, ,Sharrowed Route,Monterey Rd,Lomitas Dr,Huntington Dr South,1299.71576903,2013-05-07T00:00:00.000Z,,Sharrowed Bike Route
494,3057,0.7, ,Lane,Mecca Av,Linnet St,Tarzana Dr,1756.63825206,2006-07-13T00:00:00.000Z,,Bike Lane
495,3058,0.3, ,Lane,Mecca Av,Tarzana Dr,Avenida Oriente,604.81419119,2006-07-13T00:00:00.000Z,,Bike Lane
496,3059,0.1, ,Lane,Reseda Bl,Golf Course Rd,Winford Dr (south jog),1882.66072355,2005-01-01T00:00:00.000Z,,Bike Lane
497,3060,0.5, ,Lane,Clovis Av,92nd St,Century Bl,2638.85675596,2013-05-20T00:00:00.000Z,,Bike Lane
498,3061,0.25, ,Lane,Bronson Av,La Mirada,Santa Monica Bl,1092.71478073,2013-05-20T00:00:00.000Z,,Bike Lane
499,3062,0.6, ,Lane,96th St,Sepulveda Bl,Airport Bl,3135.10507714,2013-05-20T00:00:00.000Z,,Bike Lane
500,3063,1.1, ,Lane,Avalon Bl,L St,Harry Bridges Bl,5626.40907506,2013-05-20T00:00:00.000Z,,Bike Lane
501,3064,0.05, ,Lane,Bronson Ave,Fountain Ave,La Mirada Ave,237.8986374,2013-05-20T00:00:00.000Z,,Bike Lane
502,3065,0.8, ,Lane,Broad Av,Anaheim St,Pacific Coast Hwy,4088.17515212,2013-05-29T00:00:00.000Z,,Bike Lane
503,3066,0.2, ,Lane,Market St,Main St,Cabrillo Av,1097.0611754,2013-05-29T00:00:00.000Z,,Bike Lane
504,3067,0.5, ,Lane,Washington Bl,Mildred Av,Lincoln  Bl,2660.37856141,2013-06-02T00:00:00.000Z,,Bike Lane
505,3068,3.1, ,Lane,San Pedro St,115th St,Florence Av,16235.5866284,2013-06-09T00:00:00.000Z,,Bike Lane
506,3069,0.4, ,Lane,Athens Bl,Ainsworth St,Figueroa St,5225.7325004,2013-06-10T00:00:00.000Z,,Bike Lane
507,3070,0.4, ,Lane,11th St,Broadway,Wall St,1853.13602231,2013-06-10T00:00:00.000Z,,Bike Lane
508,3071,0.3, ,Lane,Griffin Av,Altura St,JNO Ave 28,1707.8064701,2013-06-10T00:00:00.000Z,,Bike Lane
509,3072,1, ,Sharrowed Route,Griffin Av,E Av 28,E Av 43,5635.26890049,2005-01-01T00:00:00.000Z,,Sharrowed Bike Route
510,3073,0.5, ,Lane,3rd St,San Pedro St,Garey St,2387.86364659,2013-06-10T00:00:00.000Z,,Bike Lane
511,3074,0.1, ,Lane,3rd St,Garey St,Santa Fe Av,779.07991505,2013-06-10T00:00:00.000Z,,Bike Lane
512,3075,1, ,Lane,Clybourn Av,Sherman Way,San Fernando Rd,5294.03364734,2013-06-10T00:00:00.000Z,,Bike Lane
513,3076,0.4, ,Lane,Hauser Bl,6th St,3rd St,2135.16176354,2013-06-10T00:00:00.000Z,,Bike Lane
514,3077,1.4, ,Lane,E St,Wilmington Bl,Alameda St,11063.0221953,2013-06-17T00:00:00.000Z,,Bike Lane
515,3078,0.7, ,Lane,Foothill Bl,Polk St,Hubbard St,4329.30529201,2013-06-17T00:00:00.000Z,,Bike Lane
516,3079,1, ,Lane,Dumetz Rd,Topanga Canyon Bl,Serrania Av,5432.94136795,2013-06-17T00:00:00.000Z,,Bike Lane
517,3080,1.4, ,Lane,25th St,"Catalina Vista (E/B), 500' W/O Mermaid Way (W/B)",Patton Av,7115.80983353,2013-06-17T00:00:00.000Z,,Bike Lane
518,3081,1.5, ,Lane,White Oak Av,Devonshire St,Rinaldi St,7919.98200288,2013-06-17T00:00:00.000Z,,Bike Lane
519,3082,1.4, ,Lane,Lomita Bl,Figueroa St,Wilmington Av,2344.55661861,2013-06-17T00:00:00.000Z,,Bike Lane
520,3083,0.7, ,Lane,Figueroa St,Walnut Av,190th St,3922.53156218,2013-06-17T00:00:00.000Z,,Bike Lane
521,3084,0.5, ,Lane,Glendale Bl,Glenhurst Av,Glendale City Limit (N/O) Seneca Av,5097.56931734,2013-06-17T00:00:00.000Z,,Bike Lane
522,3085,0.7, ,Lane,Eagle Rock Bl,Westdale Av,Colorado Bl,7222.32787923,2013-06-17T00:00:00.000Z,,Bike Lane
523,3086,0.8, ,Lane,Figueroa St,Redondo Beach Bl,Gardena Bl,3962.62731413,2013-06-17T00:00:00.000Z,,Bike Lane
524,3087,0.9, ,Lane,Vermont Av,190th St,Cassidy St,4564.54054443,2013-06-17T00:00:00.000Z,,Bike Lane
525,3088,0.8, ,Lane,Stadium Wy,Boylston St,Lookout Dr,4008.98980153,2013-06-24T00:00:00.000Z,,Bike Lane
526,3089,0.3, ,Lane,Montana St,Alvarado St,Echo Park Ave,1817.01792882,2013-06-24T00:00:00.000Z,,Bike Lane
527,3090,0.5, ,Lane,San Pedro Pl,Main St,San Pedro St,2718.10843416,2013-06-30T00:00:00.000Z,,Bike Lane
528,3091,0.8, ,Lane,Mission Rd,North Main St,North Broadway,4536.85312501,2013-06-30T00:00:00.000Z,,Bike Lane
529,3093,1.3,Backbone,Sharrowed Route,Vine St,Melrose Av,Hollywood Bl,6599.4947863,2011-10-02T00:00:00.000Z,,Sharrowed Bike Route
530,3094,3.32,Neighborhood,Sharrowed Route,4th St,La Brea Av,Commonwealth Av,17839.9407429,2010-07-29T00:00:00.000Z,,Sharrowed Bike Route
531,3095,0.4,Neighborhood,Sharrowed Route,Glendon Av,Weyburn Av,Wellworth Av,2232.32166349,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
532,3096,0.5,Neighborhood,Sharrowed Route,Ohio Av,Westgate Av,Purdue Av(E/B)/Sepulveda Bl (W/B),4783.93866325,2013-04-04T00:00:00.000Z,,Sharrowed Bike Route
533,3098,0.3,Neighborhood,Sharrowed Route,Tiverton Av,Lindbrook Dr,Le Conte Av (N/B),1394.32044948,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
534,3099,0.1,Neighborhood,Sharrowed Route,Wellworth Av,Westwood Bl,Glendon Av,314.31856139,2013-03-01T00:00:00.000Z,,Sharrowed Bike Route
535,3101,0.08,Neighborhood,Sharrowed Route,Weyburn Av,Tiverton Av,Glendon Av (w/b),396.13415029,2013-04-26T00:00:00.000Z,,Sharrowed Bike Route
536,3135,0.1, ,Sharrowed Route,Lucile Bl,Sunset Bl,Griffith Park Bl,494.606761,2013-03-31T00:00:00.000Z,,Sharrowed Bike Route
537,3136,0.1, ,Sharrowed Route,Harcourt Av,Jefferson Bl,Exposition Bl,356.56376382,2013-02-27T00:00:00.000Z,,Sharrowed Bike Route
538,3166,0.1, ,Sharrowed Route,Fountain Av,Seward Av,Wilcox Av,671.85296932,2013-04-01T00:00:00.000Z,,Sharrowed Bike Route
539,3167,0.1, ,Sharrowed Route,Fountain Av,Western Av,St Andrews Pl,712.10992776,2013-04-01T00:00:00.000Z,,Sharrowed Bike Route
540,3168,0.7, ,Lane,Woodman Av,Riverside Dr,Magnolia Bl (S/B)/Chandler Bl (N/B),2640.57264802,2013-07-26T00:00:00.000Z,,Bike Lane
541,3169,0.3, ,Lane,Compton Av,104th St,Century Bl,1539.96305564,2013-07-01T00:00:00.000Z,,Bike Lane
542,3170,1, ,Lane,Cabrillo Av,Sepulveda St,12th St,5129.90796111,2013-07-29T00:00:00.000Z,,Bike Lane
543,3171,0.2, ,Lane,Cabrillo Av,14th St,18th St,1320.49728503,2013-07-29T00:00:00.000Z,,Bike Lane
544,3172,0.2, ,Lane,Sunset Bl,Douglas St,Elysian Park Av,691.64769936,2013-08-25T00:00:00.000Z,,Bike Lane
545,3173,0.3, ,Lane,Windward Av,Pacific Av,Cabrillo Av,1701.88685916,2013-08-25T00:00:00.000Z,,Bike Lane
546,3174,0.05, ,Lane,Main St,Windward Circle,Venice Way,307.33172735,2013-08-25T00:00:00.000Z,,Bike Lane
547,3175,0.35, ,Lane,Grand Bl,Windward Circle,Venice Bl,2103.03616424,2013-08-25T00:00:00.000Z,,Bike Lane
548,3176,0.3, ,Lane,Broad Av,Q St,Lomita Bl,1373.51418415,2013-08-25T00:00:00.000Z,,Bike Lane
549,3177,0.6, ,Lane,Island Av,Harry Bridges Bl,Anaheim St,3173.44264025,2013-08-25T00:00:00.000Z,,Bike Lane
550,3178,0.6, ,Lane,Victory Bl,Country Oak Rd,Valley Circle Bl,3374.08819351,2013-08-25T00:00:00.000Z,,Bike Lane
551,3179,0.6, ,Lane,120th St,Avalon Av,Central Av,3297.16049467,2013-08-25T00:00:00.000Z,,Bike Lane
552,3180,1, ,Lane,120th St,Main St,Vermont Av,5411.96867294,2013-08-25T00:00:00.000Z,,Bike Lane
553,3181,0.1, ,Lane,Sawtelle Bl,Nina Pl,Culver City Limit,1002.02250785,2013-09-09T00:00:00.000Z,,Bike Lane
554,3182,0.2, ,Lane,4th Av,Adams Bl,DE N/O 25th St,1151.86121378,2013-09-23T00:00:00.000Z,,Bike Lane
555,3183,0.3, ,Lane,White Oak Ave,Rhoda St,Oxnard St,1777.49078322,2013-09-23T00:00:00.000Z,,Bike Lane
556,3184,0.7, ,Lane,Lagoon Av,DE S/O D St,Opp St,3515.74788886,2013-09-23T00:00:00.000Z,,Bike Lane
557,3185,0.5, ,Lane,Eubank Av,Lomita Bl,Pacific Coast Hwy,2895.75041272,2013-09-23T00:00:00.000Z,,Bike Lane
558,3187,0.3, ,Lane,W Broadway,Eagledale Av,Colorado Bl,1478.30582131,2013-10-04T00:00:00.000Z,,Bike Lane
559,3188,2.4, ,Lane,Colorado Bl,Eagledale Av,N Figueroa St,17462.0321225,2013-10-04T00:00:00.000Z,,Bike Lane
560,3189,0.5, ,Lane,Roxbury Dr,Cashio St,Beverly Hills City Limit,2425.4871313,2013-10-18T00:00:00.000Z,,Bike Lane
561,3190,0.7, ,Lane,Coliseum St,Sycamore Av,Martin Luther King Jr Bl,3604.37553769,2013-10-18T00:00:00.000Z,,Bike Lane
562,3191,0.4, ,Lane,14th St (San Pedro),Pacific Av,Beacon St,2271.84495292,2013-10-18T00:00:00.000Z,,Bike Lane
563,3192,0.3, ,Lane,Poplar Bl,Huntington Dr,Winchester Av,1521.45632913,2013-10-18T00:00:00.000Z,,Bike Lane
564,3193,0.6, ,Lane,White Oak Av,Ventura Bl,Ventura Fwy E/B ramps,3047.81326968,2014-03-17T00:00:00.000Z,,Bike Lane
565,3194,0.5, ,Lane,Bradley Av,Polk St,Bledsoe St,2889.34391067,2013-10-18T00:00:00.000Z,,Bike Lane
566,3195,0.5, ,Lane,Fallbrook Av,Roscoe Bl,Hidden Lake,2665.52406,2009-02-10T00:00:00.000Z,,Bike Lane
568,3197,0.9, ,Lane,Marine Ave,A St,Opp St,4763.97906195,2014-02-18T00:00:00.000Z,,Bike Lane
569,3198,0.4, ,Sharrowed Route,Marine Ave,Opp St,M St,2165.59950077,2014-02-18T00:00:00.000Z,,Sharrowed Bike Route
570,3199,0.7, ,Lane,Marine Ave,M St,Lomita Bl,3769.02502287,2014-02-18T00:00:00.000Z,,Bike Lane
571,3200,0.5, ,Lane,Clybourn Ave,Victory Bl,Vanowen St,2650.49160836,2013-12-31T00:00:00.000Z,,Bike Lane
572,3201,1, ,Lane,2nd St,Glendale Bl,Spring St,5529.17510302,2013-11-11T00:00:00.000Z,,Bike Lane
573,3202,0.6, ,Lane,7th St,Figueroa St,Main St,3251.74911928,2013-10-31T00:00:00.000Z,,Bike Lane
